v0,0.0,-0.5,0.9,0,0,0
v1,0.0,-0.41,0.9,0,0,0
v2,0.0,-0.32,0.9,0,0,0
v3,0.0,-0.23,0.9,0,0,0
v4,0.0,-0.14,0.9,0,0,0
v5,0.0,-0.05,0.9,0,0,0
v6,0.0,0.05,0.9,0,0,0
v7,0.0,0.14,0.9,0,0,0
v8,0.0,0.23,0.9,0,0,0
v9,0.0,0.32,0.9,0,0,0
v10,0.0,0.41,0.9,0,0,0
v11,0.0,0.5,0.9,0,0,0
v12,0.0,-0.5,1.0,0,0,0
v13,0.0,-0.41,1.0,0,0,0
v14,0.0,-0.32,1.0,0,0,0
v15,0.0,-0.23,1.0,0,0,0
v16,0.0,-0.14,1.0,0,0,0
v17,0.0,-0.05,1.0,0,0,0
v18,0.0,0.05,1.0,0,0,0
v19,0.0,0.14,1.0,0,0,0
v20,0.0,0.23,1.0,0,0,0
v21,0.0,0.32,1.0,0,0,0
v22,0.0,0.41,1.0,0,0,0
v23,0.0,0.5,1.0,0,0,0
v24,0.0,-0.5,1.1,0,0,0
v25,0.0,-0.41,1.1,0,0,0
v26,0.0,-0.32,1.1,0,0,0
v27,0.0,-0.23,1.1,0,0,0
v28,0.0,-0.14,1.1,0,0,0
v29,0.0,-0.05,1.1,0,0,0
v30,0.0,0.05,1.1,0,0,0
v31,0.0,0.14,1.1,0,0,0
v32,0.0,0.23,1.1,0,0,0
v33,0.0,0.32,1.1,0,0,0
v34,0.0,0.41,1.1,0,0,0
v35,0.0,0.5,1.1,0,0,0
